municipio_norm,Nome_Municipio,RDPC_RAW,RDPC_INV,GINI,E_ANOSESTUDO,PERC_FUND_COMP,PERC_MED_COMP,T_FREQ1517_FUND,TX_ANALF,IDHM_R,IDHM_E,IDHM,CRIAN_VULN,NEET_VULN,EDU_Aplicacao_Total,EDU_Perc_Aplicacao,EDU_Alunos,EDU_Investimento_Aluno,EDU_ReceitaFUNDEB,NO_MUNICIPIO_ESC,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO,NOTA_MEDIA,QTD_CANDIDATOS,IVCAD,IVCAD_NC,IVCAD_DPI,IVCAD_DCA,IVCAD_TQA,IVCAD_DR,IVCAD_CH,IVCAD_COBERTURA
AFONSO CLAUDIO,Afonso Cláudio,40.69,14.760000000000003,0.5,8.43,31.46,21.85,5.31,14.3,0.661,0.544,0.667,45.66,11.31,25389207.58,29.11,3671,6916.16,26326491.75,Afonso Cláudio,473.6377049180328,499.66875,513.75234375,512.1327868852459,605.625,519.84640625,167,0.2549776605646914,0.3560977350294756,0.08745702761402409,0.02854483400558485,0.6516689419795246,0.2377443375736891,0.1684216568414522,0.5312540737843827
AGUA DOCE DO NORTE,Água Doce do Norte,51.51,3.940000000000005,0.49,9.74,29.68,18.2,9.88,20.0,0.619,0.546,0.652,40.25,15.62,9432151.16,25.07,1511,6242.32,10046418.83,Água Doce do Norte,442.86,473.55,496.3741379310345,465.39818181818185,513.7931034482758,476.9011494252874,83,0.2846248168050807,0.3437181240840254,0.09294333170493393,0.03732291157791891,0.6674978016609673,0.4152418172936004,0.1510210063507573,0.697641587776117
AGUIA BRANCA,Águia Branca,43.78,11.670000000000002,0.53,9.78,31.86,19.95,6.72,14.83,0.66,0.595,0.678,38.28,9.3,10584230.65,27.8,1456,7269.39,9773872.95,Águia Branca,473.10350877192985,477.9222222222222,503.04603174603176,502.5754385964912,656.5079365079365,518.785291005291,96,0.2932328000000001,0.3687855999999999,0.1060847999999999,0.06848000000000001,0.6616767999999995,0.3194,0.2349800000000004,0.6189887756152817
ALEGRE,Alegre,31.29,24.160000000000004,0.52,9.75,43.23,33.09,3.36,13.54,0.708,0.63,0.721,35.47,7.54,20417430.89,26.08,2461,8296.4,17251806.98,Alegre,503.8592705167173,511.0577380952381,520.8997023809524,545.7705167173252,632.0238095238095,541.1648367952522,377,0.2651036188492584,0.3183850559750065,0.0736409789117416,0.03722988804998694,0.6413345482947199,0.3938427492840406,0.1261723509502734,0.5260993248106385
ALFREDO CHAVES,Alfredo Chaves,27.58,27.870000000000005,0.48,9.31,36.93,22.91,1.51,7.89,0.703,0.611,0.71,33.08,7.55,16262815.14,25.93,1870,8696.69,12652099.77,Alfredo Chaves,480.51590909090913,508.0,517.775,515.6999999999999,590.8333333333334,523.2231944444444,59,0.2460572727272728,0.3463736363636363,0.06542272727272729,0.01672727272727273,0.6171481818181814,0.3004545454545455,0.130157272727273,0.4184012720439433
ALTO RIO NOVO,Alto Rio Novo,48.21,7.240000000000002,0.52,10.1,28.6,15.8,10.43,17.01,0.634,0.567,0.664,41.08,15.47,8841950.23,33.27,1010,8754.41,5940894.78,Alto Rio Novo,457.4823529411765,467.2972222222222,490.2166666666666,490.80882352941177,543.3333333333334,487.180990990991,54,0.2923620025673943,0.3013145057766367,0.07676957637997427,0.04364569961489088,0.7170558408215653,0.4589216944801027,0.1564120667522465,0.727737422652677
ANCHIETA,Anchieta,28.32,27.130000000000003,0.46,8.78,46.91,33.24,2.19,6.75,0.696,0.654,0.73,26.47,10.26,82141866.93,33.99,5496,14945.75,39256763.59,Anchieta,489.39950495049504,502.84879227053136,518.0357487922705,523.1985148514851,653.3333333333334,536.4185576923077,250,0.2647147974648665,0.3821984017635711,0.05682336731882051,0.0289335905208046,0.6181463213006371,0.3616698815100579,0.140438688343896,0.4748532550693703
APIACA,Apiacá,46.4,9.050000000000004,0.53,8.8,34.83,23.92,7.36,15.25,0.659,0.549,0.673,38.17,10.63,7187350.32,26.06,916,7846.45,6176192.07,Apiacá,451.4166666666667,489.4555555555556,493.6972222222222,497.9222222222222,620.5555555555555,509.2468468468468,43,0.2545825471698114,0.29899606918239,0.0696761006289308,0.0408805031446541,0.6490015723270436,0.3732311320754717,0.09569811320754729,0.7646407309982002
ARACRUZ,Aracruz,26.82,28.630000000000003,0.5,10.26,51.98,37.59,3.13,7.42,0.717,0.707,0.752,21.99,9.11,114532009.95,28.88,15947,7182.04,105370669.13,Aracruz,512.0079239302694,524.8082442748092,531.821679389313,544.3548335974643,666.9007633587786,555.0498015267176,785,0.2565980620155039,0.4212709302325611,0.08590251937984476,0.03083333333333332,0.5905221899224805,0.3100290697674419,0.1009742248062015,0.524012029757822
ATILIO VIVACQUA,Atilio Vivacqua,34.04,21.410000000000004,0.44,9.66,39.78,25.49,4.72,10.46,0.663,0.637,0.708,30.5,12.24,12575389.91,30.58,2114,5948.62,14641847.41,Atílio Vivácqua,467.5116279069768,485.0705882352941,505.7313725490196,499.2953488372093,640.3921568627451,518.0243137254902,77,0.2615096774193548,0.3951298387096774,0.06689677419354839,0.0506451612903226,0.6249975806451608,0.3102822580645161,0.1211104838709679,0.6077798861480076
