municipio_norm,Nome_Municipio,GINI,E_ANOSESTUDO,PERC_FUND_COMP,PERC_MED_COMP,T_FREQ1517_FUND,TX_ANALF,IDHM_R,IDHM_E,IDHM,CRIAN_VULN,NEET_VULN,EDU_Aplicacao_Total,EDU_Perc_Aplicacao,EDU_Alunos,EDU_Investimento_Aluno,EDU_ReceitaFUNDEB,IVCAD,IVCAD_NC,IVCAD_DPI,IVCAD_DCA,IVCAD_TQA,IVCAD_DR,IVCAD_CH,IVCAD_COBERTURA,IND_REND_2023,NOTA_MEDIA_SAEB_2023,IDEB_2023,NO_MUNICIPIO_PROVA,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO,NOTA_MEDIA,QTD_CANDIDATOS,PERC_ESCOLA_PUB
AFONSO CLAUDIO,Afonso Cláudio,0.5,8.43,31.46,21.85,5.31,14.3,0.661,0.544,0.667,45.66,11.31,25389207.58,29.11,3671,6916.16,26326491.75,0.2549776605646914,0.3560977350294756,0.08745702761402409,0.02854483400558485,0.6516689419795246,0.2377443375736891,0.1684216568414522,0.5312540737843827,0.978773,284.89,4.9,Afonso Cláudio,482.60434782608695,505.92194092827003,515.7852320675106,527.6604347826087,650.632911392405,535.3680731364276,285.0,100.0
AGUA DOCE DO NORTE,Água Doce do Norte,0.49,9.74,29.68,18.2,9.88,20.0,0.619,0.546,0.652,40.25,15.62,9432151.16,25.07,1511,6242.32,10046418.83,0.2846248168050807,0.3437181240840254,0.09294333170493393,0.03732291157791891,0.6674978016609673,0.4152418172936004,0.1510210063507573,0.697641587776117,0.984322,280.81,4.6,Água Doce do Norte,451.80615384615385,481.80882352941177,498.9779411764706,475.0953846153846,537.0588235294117,487.51068627450985,101.0,100.0
AGUIA BRANCA,Águia Branca,0.53,9.78,31.86,19.95,6.72,14.83,0.66,0.595,0.678,38.28,9.3,10584230.65,27.8,1456,7269.39,9773872.95,0.2932328000000001,0.3687855999999999,0.1060847999999999,0.06848000000000001,0.6616767999999995,0.3194,0.2349800000000004,0.6189887756152817,0.997656,280.44,4.8,,,,,,,,,
ALEGRE,Alegre,0.52,9.75,43.23,33.09,3.36,13.54,0.708,0.63,0.721,35.47,7.54,20417430.89,26.08,2461,8296.4,17251806.98,0.2651036188492584,0.3183850559750065,0.0736409789117416,0.03722988804998694,0.6413345482947199,0.3938427492840406,0.1261723509502734,0.5260993248106385,0.967764,,,Alegre,491.76464379947225,504.1317135549872,516.5478260869565,525.3255936675462,630.7416879795396,532.2249618320611,464.0,100.0
ALFREDO CHAVES,Alfredo Chaves,0.48,9.31,36.93,22.91,1.51,7.89,0.703,0.611,0.71,33.08,7.55,16262815.14,25.93,1870,8696.69,12652099.77,0.2460572727272728,0.3463736363636363,0.06542272727272729,0.01672727272727273,0.6171481818181814,0.3004545454545455,0.130157272727273,0.4184012720439433,0.995968,304.18,5.3,,,,,,,,,
ALTO RIO NOVO,Alto Rio Novo,0.52,10.1,28.6,15.8,10.43,17.01,0.634,0.567,0.664,41.08,15.47,8841950.23,33.27,1010,8754.41,5940894.78,0.2923620025673943,0.3013145057766367,0.07676957637997427,0.04364569961489088,0.7170558408215653,0.4589216944801027,0.1564120667522465,0.727737422652677,0.995289,287.37,4.9,,,,,,,,,
ANCHIETA,Anchieta,0.46,8.78,46.91,33.24,2.19,6.75,0.696,0.654,0.73,26.47,10.26,82141866.93,33.99,5496,14945.75,39256763.59,0.2647147974648665,0.3821984017635711,0.05682336731882051,0.0289335905208046,0.6181463213006371,0.3616698815100579,0.140438688343896,0.4748532550693703,0.940044,304.57,5.2,Anchieta,499.91545253863137,516.3511677282378,528.0732484076433,537.048344370861,689.9787685774947,553.517895480226,551.0,100.0
APIACA,Apiacá,0.53,8.8,34.83,23.92,7.36,15.25,0.659,0.549,0.673,38.17,10.63,7187350.32,26.06,916,7846.45,6176192.07,0.2545825471698114,0.29899606918239,0.0696761006289308,0.0408805031446541,0.6490015723270436,0.3732311320754717,0.09569811320754729,0.7646407309982002,0.966801,291.22,4.8,,,,,,,,,
ARACRUZ,Aracruz,0.5,10.26,51.98,37.59,3.13,7.42,0.717,0.707,0.752,21.99,9.11,114532009.95,28.88,15947,7182.04,105370669.13,0.2565980620155039,0.4212709302325611,0.08590251937984476,0.03083333333333332,0.5905221899224805,0.3100290697674419,0.1009742248062015,0.524012029757822,0.949648,293.73,4.9,Aracruz,494.71858974358975,508.5579268292683,522.1589430894309,520.8141025641025,627.3983739837398,533.7621951219512,628.0,100.0
ATILIO VIVACQUA,Atilio Vivacqua,0.44,9.66,39.78,25.49,4.72,10.46,0.663,0.637,0.708,30.5,12.24,12575389.91,30.58,2114,5948.62,14641847.41,0.2615096774193548,0.3951298387096774,0.06689677419354839,0.0506451612903226,0.6249975806451608,0.3102822580645161,0.1211104838709679,0.6077798861480076,0.873687,261.66,3.8,,,,,,,,,
