NO_MUNICIPIO_PROVA,NOTA_MEDIA,NU_NOTA_MT,NU_NOTA_LC,NU_NOTA_CH,NU_NOTA_CN,NU_NOTA_REDACAO,QTD_CANDIDATOS,Ano,municipio_norm
AFONSO CLAUDIO,480.3074393063584,494.47988439306357,473.8645086705202,506.65838150289017,467.73317919075146,460.1190476190476,865,2012,AFONSO CLAUDIO
AGUA DOCE DO NORTE,461.0173188405797,469.28666666666663,459.9301449275362,482.7889855072464,449.4942028985507,445.42586750788644,345,2012,AGUA DOCE DO NORTE
ALEGRE,499.70818967312096,527.5314178638351,485.9036227357901,517.3887984981227,483.43285356695867,486.5495081967213,1601,2012,ALEGRE
ANCHIETA,501.44725726141075,518.6540248962656,490.23817427385893,523.7401162790698,477.5951827242525,499.2730404823428,1205,2012,ANCHIETA
ARACRUZ,503.28246425049315,524.3390532544379,490.38757396449705,522.8979652238254,479.5901220865705,501.36862592448426,2704,2012,ARACRUZ
BAIXO GUANDU,494.68848269123396,516.9164991624791,487.70418760469016,514.2321039396479,474.19614417435037,482.2981691368788,1194,2012,BAIXO GUANDU
BARRA DE SAO FRANCISCO,476.5780666035354,487.81136363636364,471.2948863636364,495.4116809116809,459.3187084520418,471.84,1056,2012,BARRA DE SAO FRANCISCO
BREJETUBA,461.94242358078606,471.2301310043668,459.9240174672489,484.6860262008734,450.48427947598253,444.95412844036696,229,2012,BREJETUBA
CACHOEIRO DE ITAPEMIRIM,507.22016773464003,520.6741613267999,494.50947983415,523.4601890359168,482.6891304347826,518.9792858551982,5306,2012,CACHOEIRO DE ITAPEMIRIM
CARIACICA,491.0507739216213,504.80356470271727,490.4536319612591,517.7185170178282,472.00960291734197,472.07436685697553,7434,2012,CARIACICA
CASTELO,513.0718311065433,537.045632065776,496.5679342240493,529.6562757201647,494.71234567901234,509.5084388185654,973,2012,CASTELO
COLATINA,512.1030152764306,533.5620756547041,496.0461445198836,527.3609298928919,487.5800389483934,518.7836404948246,4124,2012,COLATINA
CONCEICAO DA BARRA,472.70435443823715,477.9972067039106,469.66815642458096,500.617723880597,452.00764925373136,468.07157057654075,537,2012,CONCEICAO DA BARRA
DOMINGOS MARTINS,504.15786587098603,540.6176470588235,494.65166240409206,521.2535897435897,488.71444444444444,476.9106984969054,1173,2012,DOMINGOS MARTINS
ECOPORANGA,459.56274066091953,467.5935344827586,456.86056034482755,481.55075593952483,449.42095032397407,445.2731591448931,464,2012,ECOPORANGA
GUACUI,488.7257506053268,507.4319612590799,477.85230024213075,508.3138014527845,471.9554479418886,480.9961685823755,826,2012,GUACUI
GUARAPARI,501.5483367612779,520.7870012340601,493.7719045660222,523.8002900953171,479.13588893493574,492.87674825174827,2431,2012,GUARAPARI
IBIRACU,497.42377669902913,521.6431067961165,484.59436893203883,520.2510679611651,477.93223300970874,484.80492813141683,515,2012,IBIRACU
ITAPEMIRIM,473.781105894627,480.2309859154929,467.4615023474179,498.3020504731861,456.88548895899055,467.24080267558526,639,2012,ITAPEMIRIM
IUNA,498.47815018315015,519.6790363482671,489.5147928994083,516.553604749788,475.3992366412213,493.0122591943958,1183,2012,IUNA
JAGUARE,485.8284913793104,492.7157327586207,476.7702586206896,508.4512931034483,470.3002155172413,482.53881278538813,464,2012,JAGUARE
JOAO NEIVA,518.6361386918834,552.2647754137116,498.2789598108747,530.8376777251185,500.7983412322275,512.7543424317618,423,2012,JOAO NEIVA
LINHARES,501.55893078452004,515.603367239565,488.6499123114696,518.3298208640674,481.42929399367756,507.04309063893015,2851,2012,LINHARES
MARATAIZES,483.28375448906297,496.09128305582766,475.9266405484819,504.2726647000983,463.20609636184855,478.68448098663924,1021,2012,MARATAIZES
MIMOSO DO SUL,481.47975172975174,490.35531135531136,472.9019536019536,501.6685434516524,467.64638922888616,478.97172236503854,819,2012,MIMOSO DO SUL
MONTANHA,463.2056809750928,472.62925278219393,461.53847376788553,484.956847133758,449.1093949044586,449.33554817275746,629,2012,MONTANHA
NOVA VENECIA,495.313062882263,514.1048738532111,482.20470183486236,512.5540540540541,476.6245543415756,494.7889570552147,1744,2012,NOVA VENECIA
PEDRO CANARIO,455.2838819444445,463.29055555555556,456.6829166666667,475.3489568845619,444.0474269819193,439.47400611620793,720,2012,PEDRO CANARIO
PINHEIROS,470.9251863354037,479.6888198757764,472.3008281573499,492.21387163561076,449.68757763975157,462.7763157894737,483,2012,PINHEIROS
SANTA MARIA DE JETIBA,493.0815518913676,510.6058195926285,485.26847720659555,514.5793203883495,476.74611650485434,480.281973816717,1031,2012,SANTA MARIA DE JETIBA
SANTA TERESA,504.0229719963867,527.3461607949413,489.80623306233065,517.2025293586269,488.47037037037035,498.7325800376648,1107,2012,SANTA TERESA
SAO GABRIEL DA PALHA,487.38778481012656,503.1992210321324,479.8563777994158,510.3903414634146,468.5809756097561,477.1106557377049,1027,2012,SAO GABRIEL DA PALHA
SAO MATEUS,493.5838941871026,512.7855040871934,485.6168392370572,515.1127938764353,472.9396118097321,483.70474014848656,3670,2012,SAO MATEUS
SERRA,497.07007544512624,516.7789960768534,494.5879287798008,522.9780987978584,475.22662895241945,477.64228348165835,9941,2012,SERRA
SOORETAMA,461.3250458333334,458.82050000000004,459.6485,490.25025125628144,449.21959798994976,451.6710875331565,400,2012,SOORETAMA
VENDA NOVA DO IMIGRANTE,513.3295632333768,535.3475880052151,495.412777053455,529.1318330071755,495.4294194390085,513.2335570469799,1534,2012,VENDA NOVA DO IMIGRANTE
VIANA,477.67841633199464,483.63919678714865,479.30401606425704,505.7170692431562,461.3166666666667,460.4558058925477,1245,2012,VIANA
VILA VELHA,526.278126533629,555.3842838137472,515.5288869179601,547.5099022222223,501.35876444444443,512.3582264852696,11275,2012,VILA VELHA
VITORIA,545.2014494743557,578.4637263876175,528.9515186818674,563.5338476937193,518.3342313787639,536.9616169108103,12017,2012,VITORIA
AFONSO CLAUDIO,488.26318617021315,505.1379787234043,473.55734042553195,507.1595948827292,466.15948827292107,490.81788440567067,940,2013,AFONSO CLAUDIO
AGUA DOCE DO NORTE,469.44271361502365,478.0371830985916,462.5149295774648,492.22691218130313,447.8243626062323,469.06976744186045,355,2013,AGUA DOCE DO NORTE
ALEGRE,505.6990447378071,528.4193725921849,485.0069895432031,522.7510181618052,481.7069345074298,512.2259887005649,1818,2013,ALEGRE
ANCHIETA,505.1086371158387,521.940354609929,488.27865248226954,520.5900638750887,477.49815471965934,518.504329004329,1410,2013,ANCHIETA
ARACRUZ,505.2070423765844,526.9626885245901,488.95281967213117,523.1895047556576,475.49517874713024,513.0131490222522,3052,2013,ARACRUZ
BAIXO GUANDU,503.1272421972531,522.5754307116105,488.3702621722847,521.7982008995502,473.7914542728636,511.0861538461538,1335,2013,BAIXO GUANDU
BARRA DE SAO FRANCISCO,479.3526788646497,495.1926108374384,463.2396903589022,496.9706835799859,457.43939393939394,486.514598540146,1421,2013,BARRA DE SAO FRANCISCO
BREJETUBA,470.2339309210528,481.2634868421053,455.57960526315793,492.28421052631575,454.04671052631585,469.5945945945946,304,2013,BREJETUBA
CACHOEIRO DE ITAPEMIRIM,508.76500778063945,520.5748228092783,489.2028350515464,522.6798449612403,478.0656492248062,535.0019636720667,6212,2013,CACHOEIRO DE ITAPEMIRIM
CARIACICA,494.97499536779566,506.83848036489036,485.4337301145845,517.6427932461143,466.55148160572514,499.666896710375,8995,2013,CARIACICA
